i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,
138,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0342/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-11," 1,315,308.20 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
139,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0342/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-06-15," 733,485.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
140,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0343/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-17," 99,510.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
141,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0343/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-21," 61,494.40 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
142,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0343/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-28," 713,252.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
143,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0343/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-31," 501,295.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
144,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0343/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-09," 388,987.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
145,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0344/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-15," 589,837.15 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
146,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0346/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-18," 132,330.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
147,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0346/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-09," 156,390.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
148,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0346/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-17," 360,900.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
