i_rank_show,c_comment,c_expense_group_main,c_creditor,c_acc_item2,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้, วันที่ตรวจรับ , จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
40,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 390,015.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
41,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,22 ก.ย.2563," 163,710.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
42,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 131,610.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
43,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 439,022.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
44,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,18 ก.ย.2563," 481,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
45,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 338,066.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
46,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 291,040.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
47,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 366,903.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
48,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,22 ก.ย.2563," 169,990.90 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
49,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทโนว่า เฮลธ์แคร์ จำกัด,23 ก.ย.2563," 239,680.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
50,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,21 ก.ย.2563," 128,011.59 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
