i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
245,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเกร๊ทเตอร์มายบาซิน จำกัด,2020-08-20," 75,435.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
246, ใบสั่งซื้อ 1C07-04/2563, ค่าวัสดุ, บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-16," 214,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
247, ใบสั่งซื้อ 1C11-04/2563, ค่าวัสดุ, บริษัท เจ เอส วิชั่น จำกัด,2020-07-22," 6,711.04 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
248, ใบสั่งซื้อ 1C49-06/2563, ค่าวัสดุ, บริษัท เมดดิก้า จำกัด,2020-06-15," 127,200.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
249, ใบสั่งซื้อ 1C49-07/2563, ค่าวัสดุ, บริษัท เมดดิก้า จำกัด,2020-08-03," 186,030.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
250, ใบสั่งซื้อ 1C94-04/2563, ค่าวัสดุ, บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-17," 642,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
251, ใบสั่งซื้อ 1C133-02/2563, ค่าวัสดุ, บริษัท เทคโนเมดิคัล จำกัด (มหาชน),2020-07-24," 130,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
252, ใบสั่งซื้อ 1C133-03/2563, ค่าวัสดุ, บริษัท เทคโนเมดิคัล จำกัด (มหาชน),2020-09-05," 130,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
253, ใบสั่งซื้อ 1C133-04/2563, ค่าวัสดุ, บริษัท เทคโนเมดิคัล จำกัด (มหาชน),2020-09-26," 123,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
254, ใบสั่งซื้อ 1C41-02/2563, ค่าวัสดุ, บริษัท บอสตัน ไซเอนทิฟิค (ประเทศไทย) จำกัด,2020-09-21," 14,999.26 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
255, ใบสั่งซื้อ 1C46-06/2563, ค่าวัสดุ, บริษัท เอฟ.ซี.พี. จำกัด,2020-08-26," 33,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
256, ใบสั่งซื้อ 1C46-07/2563, ค่าวัสดุ, บริษัท เอฟ.ซี.พี. จำกัด,2020-09-18," 17,220.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
257, ใบสั่งซื้อ 1C47-02/2563, ค่าวัสดุ, บริษัท สหแพทย์เภสัช จำกัด,2020-09-21," 34,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
258, ใบสั่งซื้อ 1C92-02/2563, ค่าวัสดุ, บริษัท บอสตัน ไซเอนทิฟิค (ประเทศไทย) จำกัด,2020-09-30," 64,735.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
259, ใบสั่งซื้อ 1C152-01/2563, ค่าวัสดุ, บริษัท โอลิมปัส (ประเทศไทย) จำกัด,2020-08-10," 64,730.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
260, ใบสั่งซื้อ 1C152-02/2563, ค่าวัสดุ, บริษัท โอลิมปัส (ประเทศไทย) จำกัด,2020-09-25," 30,460.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
261, ใบสั่งซื้อ 1C18-05/2563, ค่าวัสดุ, บริษัท ไทย เมด-เทค จำกัด,2020-08-28," 174,900.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
262, ใบสั่งซื้อ 1C29-09/2563, ค่าวัสดุ, บริษัท แอ๊บบอต ลาบอแรตอรีส จำกัด,2020-08-17," 373,750.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
263, ใบสั่งซื้อ 1C29-10/2563, ค่าวัสดุ, บริษัท แอ๊บบอต ลาบอแรตอรีส จำกัด,2020-09-08," 431,250.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
264, ใบสั่งซื้อ 1C33-04/2563, ค่าวัสดุ, บริษัท ไทย เมด-เทค จำกัด,2020-08-28," 140,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
265, ใบสั่งซื้อ 1C34-03/2563, ค่าวัสดุ, บริษัท ไทย เมด-เทค จำกัด,2020-08-28," 92,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
266, ใบสั่งซื้อ 1C39-04/2563, ค่าวัสดุ, บริษัท ฟาโวริกา จำกัด,2020-08-18," 60,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
267, ใบสั่งซื้อ 1C40-03/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-18," 232,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
268, ใบสั่งซื้อ 1C40-04/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-01," 29,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
269, ใบสั่งซื้อ 1C76-03/2563, ค่าวัสดุ, บริษัท บอสตัน ไซเอนทิฟิค (ประเทศไทย) จำกัด,2020-08-17," 94,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
270, ใบสั่งซื้อ 1C82-07/2563, ค่าวัสดุ, บริษัท กู๊ด เฮลธ์ ฟาร์มาซูติคอล จำกัด,2020-08-03," 464,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
271, ใบสั่งซื้อ 1C82-08/2563, ค่าวัสดุ, บริษัท กู๊ด เฮลธ์ ฟาร์มาซูติคอล จำกัด,2020-08-31," 29,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
272, ใบสั่งซื้อ 1C122-01/2563, ค่าวัสดุ, บริษัท บอสตัน ไซเอนทิฟิค (ประเทศไทย) จำกัด,2020-08-03," 42,800.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
